palabra,frecuencia
balón,195
lewandowski,92
madrid,90
barça,89
mbappé,83
vinicius,78
real,70
rafiña,69
robert,67
partido,65
peña,65
gol,57
martínez,53
pedri,52
fuera_de_juego,50
fútbol,49
equipo,49
minutos,47
barcelona,42
jordi,42
acción,41
bien,41
primera,40
club,38
lucas,36
vázquez,36
valverde,36
parte,34
blanco,34
dos,34
tenemos,33
bellingham,33
mucho,32
falta,32
camavinga,32
mal,32
puede,30
militao,29
rudiger,29
pase,29
clásico,28
acaba,28
jugador,28
nuevo,28
iñaki,28
juego,27
momento,27
goles,26
jugadores,26
fermín,25
vez,25
defensa,24
jud,24
área,24
costado,23
estaba,23
meter,23
cuando,23
poquito,23
kilian,23
ñigo,22
valde,22
liga,21
primer,21
hoy,21
izquierdo,21
mejor,20
árbitro,20
atrás,19
son,19
tiro_de_esquina,19
parece,19
había,19
llegar,18
terreno,18
posición,18
esteban,18
balde,18
hace,18
claro,18
modric,18
centro,17
segunda,17
quiere,17
después,17
sea,17
espacio,16
portería,16
sánchez,15
poco,15
donde,15
intentar,15
paco,15
intenta,15
hecho,15
flick,15
llega,15
saque_de_banda,14
ido,14
juega,14
espalda,14
dentro,14
veces,14
golpeo,14
miña,14
hora,14
tocado,13
derecho,13
portero,13
importante,13
mendí,13
buena,13
solo,13
incluso,13
dani,13
gabi,13
llegado,12
cuadro,12
oportunidad,12
fuera,12
temporada,12
casi,12
mundo,12
delante,12
menos,12
toca,12
medio,12
fed,12
lleva,12
equipos,12
mí,12
dicho,12
sigue,12
buen,12
gesto,12
olmo,12
presión,11
fede,11
jugar,11
hacer,11
cosa,11
tan,11
largo,11
detrás,11
tiempo,11
antes,11
derecha,10
kundé,10
viendo,10
killan,10
uno,10
nada,10
recuperación,10
culé,10
sino,10
línea,10
marcador,9
tocar,9
palo,9
lunin,9
velocidad,9
muchas,9
años,9
absolutamente,9
mitad,9
intentando,9
queja,9
ve,9
rápido,9
encima,9
gran,9
recibe,9
iñigo,9
todavía,9
error,9
pone,9
muchos,9
disparo,9
kilan,9
presionar,8
través,8
ñakiqui,8
bastante,8
tampoco,8
iba,8
tienes,8
porteros,8
cabeza,8
zona,8
cara,8
final,8
minamal,8
insisto,8
remate,8
cual,8
salir,8
sé,8
van,8
alejandro,8
suelo,8
luego,8
minam,8
aparece,8
kubarí,8
mete,8
cero,8
control,8
necesita,8
ancelotti,8
tarjeta_amarilla,8
vini,8
golazo,8
blaugrana,7
circulación,7
minuto,7
dudas,7
hombre,7
defender,7
clara,7
sacar,7
salido,7
tenía,7
tanto,7
arriba,7
jordipons,7
ñaki,7
john,7
nos,7
rematar,7
recibiendo,7
pases,7
cuero,7
hansy,7
controla,7
vivo,7
marcasado,7
marcas,7
deja,7
buscando,7
pierna,7
tengo,7
contacto,7
luka,7
suerte,6
conjunto,6
poder,6
siempre,6
defensiva,6
tobillo,6
presiona,6
tres,6
público,6
entiendo,6
barsí,6
tocando,6
igual,6
últimos,6
autoridad,6
red,6
tener,6
izquierda,6
equivocado,6
sale,6
pasar,6
difícil,6
manos,6
da,6
nunca,6
debe,6
hans,6
vaselina,6
lamí,6
acciones,6
pasado,6
cosas,6
corre,6
pasa,6
desmarque,6
recibido,6
golpe,6
primero,6
lun,6
viene,6
pie,6
cambio,6
frankie,6
centrales,6
cuatro,6
saltar,6
ay,6
rival,5
poner,5
ataque,5
jus,5
tenido,5
táctica,5
minal,5
dejar,5
banda,5
último,5
chuamení,5
forma,5
bellingan,5
punto,5
correr,5
despeje,5
directo,5
marca,5
partidos,5
champions,5
twitter,5
podido,5
repetida,5
pisotón,5
banquillo,5
posible,5
encanta,5
buscar,5
mano,5
podría,5
recuperar,5
terestegen,5
brutal,5
mirar,5
siendo,5
presionando,5
dice,5
mecha,5
metido,5
haya,5
mueve,5
