linea,tiempo_hms,segundos,texto_original,texto_limpio,tramo,motivo_exclusion
1,00:00:00,0,Gracias por estar ahí. Disfrutad del clásico madridistas. Disfrutad del clásico culés. Disfruta también del clásico Esteban. ¿Qué tal? ¿Cómo estás?,Gracias por estar ahí. Disfrutad del clásico madridistas. Disfrutad del clásico culés. Disfruta también del clásico Esteban. ¿Qué tal? ¿Cómo estás?,fuera_del_partido,Presentacion previa o comentario posterior al pitido final.
2,00:00:08,8,"Buenas noches, Jordi. Encantado.","Buenas noches, Jordi. Encantado.",fuera_del_partido,Presentacion previa o comentario posterior al pitido final.
3,00:00:10,10,"Bueno, pues aquí tenemos la alineación del Real Madrid que va a jugar con Lunin bajo palos. Veremos a Lucas Vázquez, Militao, Rudiger y Mendí por delante.","Bueno, pues aquí tenemos la alineación del Real Madrid que va a jugar con Lunin bajo palos. Veremos a Lucas Vázquez, Militao, Rudiger y Mendí por delante.",fuera_del_partido,Presentacion previa o comentario posterior al pitido final.
4,00:00:19,19,"Esa línea de cuatro con Bellingham, Fede de Valverde, Chuamenica, Mavinga, Mbappé y Vinicius en la punta del ataque.","Esa línea de cuatro con Bellingham, Fede de Valverde, Chuamenica, Mavinga, Mbappé y Vinicius en la punta del ataque.",fuera_del_partido,Presentacion previa o comentario posterior al pitido final.
5,00:00:25,25,"Sí, no hay muchas sorpresas, hay bajas, eh, entre ellas la de Courtois que vuelve a jugar Luning. Lo que pasa que ahora ya con Luning parece que hay todo","Sí, no hay muchas sorpresas, hay bajas, eh, entre ellas la de Courtois que vuelve a jugar Luning. Lo que pasa que ahora ya con Luning parece que hay todo",fuera_del_partido,Presentacion previa o comentario posterior al pitido final.
6,00:00:32,32,"es todo mucho más tranquilo, hay mucha más eh sosiego, ¿no?, sobre su figura. Y este dibujo lo entiendo para defender,","es todo mucho más tranquilo, hay mucha más eh sosiego, ¿no?, sobre su figura. Y este dibujo lo entiendo para defender,",fuera_del_partido,Presentacion previa o comentario posterior al pitido final.
7,00:00:39,39,"pero para atacar entiendo que Bellinga va a acompañar mucho más cerca a Vinicius y Mbappé, ¿no?, que son los dos delanteros eh, que hoy presenta Chelotti en un 11 que no hay ninguna sorpresa.","pero para atacar entiendo que Bellinga va a acompañar mucho más cerca a Vinicius y Mbappé, ¿no?, que son los dos delanteros eh, que hoy presenta Chelotti en un 11 que no hay ninguna sorpresa.",fuera_del_partido,Presentacion previa o comentario posterior al pitido final.
8,00:00:49,49,"Podría ha la duda entre a lo mejor Chuamení, Camavinga o Modric. Dos plazas para esos tres, pues ya se ha decidido Anchelotti.","Podría ha la duda entre a lo mejor Chuamení, Camavinga o Modric. Dos plazas para esos tres, pues ya se ha decidido Anchelotti.",fuera_del_partido,Presentacion previa o comentario posterior al pitido final.
9,00:00:58,58,Tenemos también la alineación del Fútbol Club Barcelona que va a saltar al terreno de juego con Iñaquip Peña bajo palos. Veremos a Kunarío Martínez y,Tenemos también la alineación del Fútbol Club Barcelona que va a saltar al terreno de juego con Iñaquip Peña bajo palos. Veremos a Kunarío Martínez y,fuera_del_partido,Presentacion previa o comentario posterior al pitido final.
10,00:01:05,65,"Valde por delante. Marcas, Pedri y Fermín en la punta del ataque. Rober Lewandowski con la Minja mal y Rafiña a las bandas.","Valde por delante. Marcas, Pedri y Fermín en la punta del ataque. Rober Lewandowski con la Minja mal y Rafiña a las bandas.",fuera_del_partido,Presentacion previa o comentario posterior al pitido final.
